City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Harper,LR,78.6,scattered clouds,4.375,-7.7169,Screensaver
2,Panipat,IN,77.9,clear sky,29.3889,76.9681,SPOT ON 68644 Shri Shyam Guest House
7,Rikitea,PF,73.53,light rain,-23.1203,-134.9692,People ThankYou
8,Jawhar,SO,76.68,few clouds,2.7809,45.5005,Hotel Shabelle
9,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Lebu,CL,56.82,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
11,Mumford,GH,76.55,scattered clouds,5.2618,-0.759,Peace Guest House
12,Castro,BR,57.58,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
14,Vaini,TO,71.76,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Lata,PT,66.92,broken clouds,40.1629,-8.3327,Casa Maquia
20,Airai,TL,61.5,overcast clouds,-8.9266,125.4092,
23,Rio Grande,BR,68.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
28,Geraldton,AU,55.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
29,Saint-Philippe,RE,69.39,scattered clouds,-21.3585,55.7679,Le four à pain
30,Cape Town,ZA,63.09,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
32,Busselton,AU,54.01,clear sky,-33.65,115.3333,Observatory Guest House
34,Cidreira,BR,64.02,overcast clouds,-30.1811,-50.2056,Hotel Castelo
37,Carnarvon,AU,68.95,clear sky,-24.8667,113.6333,Hospitality Carnarvon
38,Hermanus,ZA,58.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
42,Sao Filipe,CV,79.81,scattered clouds,14.8961,-24.4956,Hotel Xaguate
43,Nexo,DK,57.29,broken clouds,55.0607,15.1306,Strandhotel Balka Søbad
44,Bredasdorp,ZA,54.36,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
46,Bambous Virieux,MU,70.05,light rain,-20.3428,57.7575,Casa Tia Villa
48,Avarua,CK,71.65,light rain,-21.2078,-159.775,Paradise Inn
49,Comodoro Rivadavia,AR,58.86,light rain,-45.8667,-67.5,Austral Hotel
55,Alyangula,AU,76.35,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
57,Port Elizabeth,ZA,67.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
58,Nelson Bay,AU,62.01,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
59,Souillac,MU,70.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Atuona,PF,76.71,light rain,-9.8,-139.0333,Villa Enata
63,Kaka,TM,73.87,clear sky,37.3482,59.6143,
64,Rio Gallegos,AR,55.45,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
65,Pringsewu,ID,73.31,scattered clouds,-5.3582,104.9744,Urban Style by Front One
66,Bengkulu,ID,75.74,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
67,Merauke,ID,77.88,overcast clouds,-8.4667,140.3333,
68,Hami,CN,60.35,overcast clouds,42.8,93.45,Laoyutang Resort
69,Albany,US,60.24,overcast clouds,42.6001,-73.9662,
70,Chizhou,CN,76.39,broken clouds,30.6578,117.4831,Home Inn Chizhou Qiupu West Road Xiushanmen Square
71,Sao Jose Da Coroa Grande,BR,79.7,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
72,Kapaa,US,74.1,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
74,Pozo Colorado,PY,71.19,overcast clouds,-23.4923,-58.7972,Hospedaje La Norteña
75,Prince Rupert,CA,59.09,overcast clouds,54.3161,-130.3201,Crest Hotel
79,Matamoros,MX,74.1,clear sky,25.5333,-103.25,Quinta Belem
81,Yumen,CN,57.07,clear sky,40.2833,97.2,
82,Camacha,PT,71.02,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
83,Cayhagan,PH,78.03,overcast clouds,9.6697,122.4256,Melrose Beach Resort
84,Fortuna,US,72.93,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
87,Linqiong,CN,73.22,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
88,Westport,US,64.81,clear sky,41.1415,-73.3579,The Westport Inn
90,Khasan,RU,59.5,clear sky,42.4308,130.6434,Fangchuan Self-Driving Camp
92,San Andres,CO,75.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
93,Yellowknife,CA,50.56,few clouds,62.456,-114.3525,The Explorer Hotel
95,Saldanha,ZA,60.85,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
97,Jamestown,US,60.03,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
98,Casablanca,MA,71.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
99,Mar Del Plata,AR,62.62,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Boyolangu,ID,76.26,overcast clouds,-8.1181,111.8935,Yos ega cv
105,Torbay,CA,61.88,scattered clouds,47.6666,-52.7314,Gallows Cove
106,La Rioja,ES,53.38,overcast clouds,42.25,-2.5,Casa Concejos
114,Lagoa,PT,68.34,clear sky,39.05,-27.9833,Casa Das Faias
115,Pasni,PK,79.59,clear sky,25.2631,63.471,Kashmiri Hotal
116,Port Alfred,ZA,67.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
117,Roma,US,60.73,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
120,Ancud,CL,52.66,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
121,Tabou,CI,78.22,scattered clouds,4.423,-7.3528,hotêl doufoulougou
124,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
126,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
127,Combita,CO,59.97,broken clouds,5.6333,-73.3167,Hotel Rural Casa Peraffan
128,Saint Albans,GB,55.4,light rain,51.75,-0.3333,The White Hart
